Hours,Score
7,30
4,23
8,43
5,21
7,36
3,19
7,32
8,41
5,29
4,23
8,38
8,35
3,11
6,25
5,24
2,9
8,41
6,33
2,13
5,22
1,2
6,27
9,43
1,7
3,15
7,37
4,15
9,47
3,13
5,20
3,17
7,33
5,25
9,47
7,33
2,7
4,23
9,42
2,13
9,41
5,21
2,6
4,20
7,32
8,43
3,13
1,0
4,18
2,5
8,39
4,18
2,12
6,32
6,31
4,17
6,25
2,5
2,7
4,20
8,41
7,35
9,45
8,40
5,22
2,10
5,27
8,36
9,44
9,40
1,0
9,44
7,32
9,43
8,37
1,0
8,35
8,39
3,15
1,2
8,43
3,14
3,17
1,0
5,24
7,32
9,40
7,33
9,44
8,41
2,5
1,2
7,31
7,38
8,44
5,25
3,19
8,37
6,32
3,17
1,1
3,15
5,26
3,11
1,9
5,21
7,39
7,30
9,47
3,10
7,38
1,5
4,21
4,24
5,26
7,39
7,32
4,16
7,38
3,17
6,34
2,11
9,48
5,23
6,28
4,15
7,37
9,42
7,36
1,1
1,1
9,46
9,45
4,17
9,48
3,19
7,35
6,34
8,44
9,45
5,20
1,3
3,19
8,40
6,30
8,39
9,40
4,22
1,4
1,4
4,21
7,33
2,10
3,13
1,2
5,26
1,7
8,38
1,1
1,9
2,7
2,5
6,32
7,32
5,29
1,6
1,9
3,14
2,14
5,24
6,31
7,38
4,19
7,30
8,44
1,9
6,25
8,36
5,25
4,23
2,12
6,29
6,25
1,6
9,44
6,30
3,16
4,17
4,24
3,12
3,14
3,15
4,23
7,34
4,15
9,43
1,4
8,44
7,39
2,9
8,41
